badword_list
babaca
boceta
boquete
bosseta
buceta
bundas
bundinha
busseta
cala a boca
caraleo
caralho
caralhos
caralhoto
caralio
checheca
chereca
chochota
chota
crl
crlh
cu
culhaes
culhão
curalho
cusão
cuzuda
cuzudo
cuzão
czão
escrota
escroto
fdp
filho da puta
filho de uma puta
filho duma puta
foda
foda-se
fode
foder
fodida
fodido
fodão
fudendo
fuder
fudeção
fudida
fudido
iscrota
iscroto
kct
kralio
krlh
lixo
mentiroso
merda
merdas
pau
pau no cu
peia
pica
pika
piroca
piroka
porra
porras
pqp
punheta
punhetão
puta
puto
safado
tnc
vagabunda
vai a merda
vai dar o cu
vai pra puta que pariu
vai se foder
vai te a merda
vai te foder
vai toma no cu
vai tomar no seu cu
vaitomarnocu
vtnc
wtf
