hatelist
aberração
abestado
abestalhado
aborto
acabouamamata
acabouapiranhagempt
acefalo
aceitaquedóimenos
agenteapanha
aloprada
aloprado
ameaça
ameaçadopartidodostrabalhadoresàdemocracia
ameba
analfabeta
analfabeto
animal
anta
antilula
anus
apesardoptobrasilvaivencer
aquele animal
arregao
arregão
arrombada
arrombado
asno
asquerosa
asqueroso
asqueroza
asquerozo
assassino
avelhajogadadelula
baba ovo
babaca
babaovo
baba-ovo
babaquice
babuino
bacural
bacurau
bagos
baianada
baiano
baitola
bandida
bandido
bandilma
bandodefanáticos
bastadecoroneis
bêbada
bebum
besta
besta quadrada
bestaquadrada
biba
bicha
bisca
biscate
bixa
bixinha
boazuda
bocão
boco
boiola
bolagato
bolsoasno
bolsobosta
bolsokids
bolsomerda
bolsominion
bolsominions
bolsomito
bolsonarista
bolsonaristas
bolsonarolixo
bolsonarolixos
boquete
bosseta
bosta
bostana
bostinha
bostonaro
bozo
bozobosta
bozolixo
bozonaro
bozonarolixo
bozonazi
brecha
brega
brexa
brioco
brocha
bronha
broxa
brsemcomunas
bunda
bunda mole
bundamole
bundão
bunduda
burguês
burgues safado
burguesafado
burguesia fede
burguesiafede
burguêssafado
burra
burro
cabeçuda
cabeçudo
cabelo de bombril 
cabelo de esfregão
cabelodebombril
cabelodeesfregão
cabeludo
cabessuda
cabessudo
caceta
cacete
cachaceiro
cachaceiro vagabundo
cachaceiroevagabundo
cachaceirovagabundo
cachorra
cachorro
cadela
cafageste
cafajeste
caga
cagada
cagado
cagandoeandando
cagandoregra
cagão
cagar
cagona
caguei
calçaapertada
calhorda
calhordas
canalha
canalhas
canalhice
canalhices
cancerdobrasil
câncerdobrasil
capacho
capachos
capeta
capetas
carcomida
careca
cassaachapatse
casseta
cassete
chegadecoroneis
cheiadeódio
cheirador
cheiradora
cheiro de cachorro morto
cheirodecachorromorto
chibumba
chibumbo
chifruda
chifrudo
chorapt
choroédegraça
chupada
chupado
chupapt
chupe
chutarosovos
coca
cocaina
cocaína
coco
coiso
coisonão
coisonunca
come quieto
comequieto
comuna
comunismonão
comunista
corna
corno
cornuda
cornudo
corrupta
corrupto
cretina
cretino
criminoso
criola safada
criolasafada
criolo safado
criolosafado
cruz credo
cruzcredo
cruz-credo
debil mental
debilmental
debiloide
debochada
decepciona
decepcionar
dedo duro
defecar
defecarpelaboca
demoníaco
demonio
demônio
desgraçado
deu uma mijada
deuumamijada
deviatervazado
dilmanta
direitopatas
disgraçado
doida varrida
doidamares
doidavarrida
doido varrido
doidovarrido
é o diabo
egua
égua
elejamais
elenão
elenunca
émaisfalsoque
enraba
enrabada
enrabado
enrustida
enrustido
ésanguenoolho
escrota
escroto
esparro
esporrada
esporrado
esporro
esquerdalha
esquerdista
esquerdopata
essenão
estoucomsanguenoolho
estoucomsanguenosolhos
estupida
estupidez
estupido
eunãoaguentomais
facista
fakenewsdohaddad
falsiane
falsiani
fascista
fascistinha
fedendo
fedida
fedido
fedor
fedorenta
fedorento
feia
feio
feiosa
feioso
feioza
feiozo
felação
feto
fiascão
fiasco
fiderapariga
fidumaegua
filho da égua
filho de uma besta
filho de uma égua
filho duma égua
filhote de cruz credo
fiofo
fiofó
florminense
florziha
forabolsonaro
foragenocida
forapartidodostrabalhadores
foraposte
forapt
fracassado
furão
furona
gabinetedoodionacadeia
gado
gaiata
gaiato
gay
genocida
gente apanha
globoélixo
globogolpista
globolixo
golpista
gonorrea
gonorreia
gosmenta
gosmento
grelinho
grelo
haddad poste
haddadefefeca
haddadjaera
haddadmaisfalsoquenotadereais
haddadnacadeia
haddadnão
haddadnãoécristão
haddadposte
haddadpreso
hipocrisia
hitler
homenscontrabolsonaro 
homofobico
homofóbico
homosexual
homo-sexual
homossexual
ibopefake
idiota
idiotice
imbecil
imundo
incompetente
inferno
intervençãomilitar
jabiraca
japa
jegue
jumenta
jumento
kct
kit gay
lacradora
ladra
ladrão
ladrãosafado
ladroeira
ladrona
laia
lalau
lava toga
lavatoga
lavatogaja
leitoa
leprosa
leproso
lesbica
lésbica
leva e traz
levaetraz
lixo
loucaeinsana
louco
lula na cadeia
lula ta preso babaca
lulacondenado
luladrão
lulaeaecionacadeia
lulaemcana
lulaestápreso
lulaestápresobabaca
lulaladrão
lulanacadeia
lulaoficialnacadeia
lulapreso
macaca safada
macacada
macacasafada
macaco safado
macacosafado
machona
mal amada
mal comida
malamada
malcomida
maldade
maldita
maldito
mamata
mamulenga
mamulengo
manguaca
manguaça
maria chuteira
maria gasolina
maria vai com as outras
marica
maricas
masturba
maudita
maudito
me mata
meleca
meusovo
mijão
mijar fora do pinico
mijarforadopinico
milicianos
mocraia
mocrea
mocreia
mocréia
moleque safado
molequesafado
mondronga
mondrongo
monocelha
monoselha
monoteta
morotario
morotário
morredesgraça
morredesgraçada
morredesgraçado
morto de fome
mortodefome
mulamba
mulambada
mulambo
muleque safado
mulequesafado
mulherbelarecatadaedolar
mulheresbelasrecatadasedolar
mulherescontrabolsonaro
mulherzinha
naba
nãoaguento
nãoaguentomais
nãogostodevoce
nãomerepresenta
nãopassarão
nãovalenada
nareba
narigão
nariz de nega
nariz de nego 
nasista
nazifacista
nazista
nefastas
nefastos
nega macaca
nega safada
negada
nego safado
negosafado
nemvemquenãotempt
ninguemsoltamãodeninguem
nobolsonão
nojeira
nojenta
nojento
nojo
nordestino não sabe votar
nordestinonãosabevotar
nossabandeirajamaisserávermelha
odeia
odeio
ogiganteacordou
ojeriza
olhota
olulaestápresobabaca
organizaçãocriminosa
otaria
otária
otario
otário
palhaçada
palhaço
pandega
pândega
paraqueestáfeio
pariu
paspalha
paspalhão
paspalho
passarraiva
passarumavergonha
passarvergonha
peidar
peido
pemba
penis
pentelha
pentelho
pepa
perereca
peru
perua
petezada
petralha
petralhada
pica das galaxias
picão
picareta
picaretagem
pilantra
pilantragem
pinguço
pinto
piranha
piriguete
pirralho
piru
pirua
pistoleira
pistoleiro
pocavergonha
porca
porco
porrada
postedolula
poucavergonha
prega
presidiario
presidiário
presidiariocondenado
presidiáriocondenado
preta da senzala
preta macaca
preta nojenta
pretadasenzala
pretalhada
pretamacaca
pretanojenta
preto da macumba
preto da senzala
preto macaco
preto nojento
pretodasenzala
pretomacaco
programa de índio
programadeíndio
programafunai
prostibulo
prostíbulo
prostituta
prostituto
protibulo
pt nunca mais
ptaquinão
ptjamais
ptnacadeia
ptnão
ptnuncamais
ptquadrilhacriminosa
ptralha
ptvaitomarnocú
ptveiodoinferno
pustula
pústula
pústulas
putaria
putarias
puxasaco
puxa-saco
quadrilha
quadrilhadelula
quadrilhadocrime
quadrilhadopt
quadrilhas
quatro olhos
quatroolhos
queima rosca
queimarosca
rabão
rabo
rabuda
rabudão
rabudo
rabudona
racha
rachada
rachadão
rachadinha
rachadinho
rachado
raiva
rameira
ramela
rampeira
ranço
rapariga
relinchou
remelada
retardada
retardado
retardados
retrocesso
ridicula
ridícula
ridículas
ridiculo
ridículo
ridículos
roubalheira
sacana
sacanas
safada
safado
safados
saidemonio
saidemônio
saithemonio
sandices
sapatao
sapatão
sarnenta
sarnento
semhipocrisia
senta na boneca
sentanaboneca
seu animal
seu asno
seu bosta
seu bostinha
seu estrume
seu inutil
seu merdinha
seu moleque
seu monte de esterco
seu muleque
sífilis
simancol
siririca
sordido
stfvergonhanacional
sua anta
sua besta
sua neguinha
sua vaca
suasticafake
suavaca
suruba
tarada
tarado
teodeio
terraplanista
terraplanistas
terrorista
terroristas
tesão
testuda
tesuda
tetuda
tetudo
tezão
tezuda
tezudo
tinha que ser preta
tinha que ser preto
tinhaqueserpreta
tinhaqueserpreto
tinhoso
tiro gomes
tirogomes
todacagada
todascontrabolsonoro
todo mijado
todomijado
traveco
tribufu
trocha
trolha
troucha
trouxa
troxa
tuéburra
umaova
vagabunda
vagabundas
vagabundo
vagabundo cachaceiro
vagabundocachaceiro
vagabundos
vai dar o rabo
vai para senzala
vai pra senzala
vai toma no rabo
vai tomar no fiofo
vaicapinarumlote
vaiparacuba
vaiparasenzala
vaiparavenezulea
vaiplantarbatata
vaipracuba
vaitomarnorabo
vadia
vaitrabalharvagabundo
vampirão
vaocapinarumlote
vazajato
veada
veadão
veado
velhoasqueroso
velhote
viada
viadão
viadinha
viado
xana
xaninha
xavasca
xereca
xerereca
xexeca
xibiu
xibumba
xochota
xota
xoxota
zé ruela
zeruela
zéruela
corruptos
corruptas
