vogais_duplicadas
enjôo
enjôos
abençôo
perdôo
crêem
dêem
lêem
vêem
relêem
prevêem
voo
voos
enjoo
enjoos
abençoo
perdoo
creem
deem
leem
veem
releem
preveem
